revision_id,decision_id,artifact,location,current_surface,default_or_fallback_action,alternate_answer_gate,source_evidence,required_verification,execution_status,selected_value,response_basis,applied_by,applied_at,notes
cards_poster_coca,main_evidence_cards,poster,slide 1 / shapes coca-label picture 186 coca-caption,EVIDENCE CARD: COCA-COLA,Keep the current Coca-Cola image and bounded caption.,Replace only with a present verified screenshot and evidence note; update the presentation card and manifest hashes together.,docs/research/poster/ssrp_poster_aligned_review_2026-07-25.pptx;docs/research/current_five_evidence_packet_2026-06-19.md,Screenshot hash check; source-ref check; poster render and overflow check; presentation parity check,applied_verified,guardian_and_coca_cola,project_owner_decision,Codex,2026-07-29T11:28:28+08:00,Verified against July 29 closeout artifacts and required checks
contrast_presentation,contrast_case_treatment,presentation,slide 8 / shape 20 and contrast cards,"No visible first-screen banner is a contrast label, not a failure verdict",Keep CNN Booking.com and NerdWallet as separately labeled no-visible-first-screen-banner contrasts; do not use their raw automated tiers as final findings.,If excluded or relabeled update all three cards the slide title final tables poster contrast block and limitations together; never imply banner-path failure.,docs/research/presentation/ssrp_consent_audit_presentation_draft_2026-07-22.pptx;docs/research/current_five_evidence_packet_2026-06-19.md,Exact-text check; three-site membership check; presentation render and overflow check; table and poster parity check,applied_verified,no_visible_first_screen_banner_contrast,project_owner_decision,Codex,2026-07-29T11:28:28+08:00,Verified against July 29 closeout artifacts and required checks
contrast_poster,contrast_case_treatment,poster,slide 1 / shape contrast-note and contrast card block,Important: no-visible-banner contrast cases are not banner-path failures. A separate table label or advisor decision is needed before any final scoring claim.,Keep the separate contrast block and explicit non-failure guardrail.,If excluded or relabeled update the three poster cards presentation slide 8 final tables and limitations in one revision.,docs/research/poster/ssrp_poster_aligned_review_2026-07-25.pptx;docs/research/current_five_evidence_packet_2026-06-19.md,Exact-text check; three-site membership check; poster render and overflow check; table and presentation parity check,applied_verified,no_visible_first_screen_banner_contrast,project_owner_decision,Codex,2026-07-29T11:28:28+08:00,Verified against July 29 closeout artifacts and required checks
contrast_evidence_tables,contrast_case_treatment,evidence_package,current-five sheet and final evidence tables,Three no-visible-banner site rows and the project table rule remain unconfirmed.,Keep the three cases separate from banner-path findings and retain the unresolved table-rule limitation.,Any alternate treatment must be recorded with provenance and applied consistently to the current-five sheet derived tables presentation poster and closeout note.,data/current_five_decision_sheet_2026-06-19.csv;docs/research/ssrp_results_tables_2026-06-06.md,Structured CSV check; table-membership check; claim-register check; cross-artifact parity check,applied_verified,no_visible_first_screen_banner_contrast,project_owner_decision,Codex,2026-07-29T11:28:28+08:00,Verified against July 29 closeout artifacts and required checks
unresolved_presentation,unresolved_review_items,presentation,slide 10 / shape 7,Confirm or visibly carry pending decisions,Retain the closeout step and visibly carry unresolved decisions when the no-response branch is selected.,Stronger claims wait until the underlying current-five and CMP rows are actually reviewed and the manifest is refreshed.,docs/research/presentation/ssrp_consent_audit_presentation_draft_2026-07-22.pptx;data/current_five_decision_sheet_2026-06-19.csv;data/cmp_review_confirmation_sheet_pilot_2026-05-30.csv,Exact-text check; decision-count check; presentation render and overflow check,applied_verified,carry_as_visible_limitations,project_owner_decision,Codex,2026-07-29T11:28:28+08:00,Verified against July 29 closeout artifacts and required checks
unresolved_poster,unresolved_review_items,poster,slide 1 / shapes metric-5 metric-6 and limits-copy,Pilot/method evidence only. Raw layer1.html files are not synced; 7 current-five decisions are blank; 8 CMP/manual-review confirmations are pending.,Keep the 7 and 8 counts visible unless the source sheets are actually resolved before final render.,If rows are resolved refresh counts limitations manifest hashes and both artifacts from the changed source sheets.,docs/research/poster/ssrp_poster_aligned_review_2026-07-25.pptx;data/current_five_decision_sheet_2026-06-19.csv;data/cmp_review_confirmation_sheet_pilot_2026-05-30.csv,Structured CSV count check; exact-text check; poster render and overflow check; manifest refresh,applied_verified,carry_as_visible_limitations,project_owner_decision,Codex,2026-07-29T11:28:28+08:00,Verified against July 29 closeout artifacts and required checks
unresolved_evidence,unresolved_review_items,evidence_package,four decision sheets and pre-freeze manifest,The four sheets contain 25 open rows when counted by sheet: 5 joint 5 historical poster-only 7 current-five and 8 CMP/manual-review.,Leave human-confirmation fields blank and record any no-response fallback only as a project closeout basis after the internal cutoff.,Do not describe recommendations or fallback labels as advisor-confirmed; stronger claims require actual underlying review.,data/joint_advisor_review_decision_sheet_2026-07-25.csv;data/poster_review_decision_sheet_2026-07-16.csv;data/current_five_decision_sheet_2026-06-19.csv;data/cmp_review_confirmation_sheet_pilot_2026-05-30.csv,Structured CSV count check; blank-confirmation check; response-basis provenance check; manifest refresh,applied_verified,carry_as_visible_limitations,project_owner_decision,Codex,2026-07-29T11:28:28+08:00,Verified against July 29 closeout artifacts and required checks
rq2_presentation,rq2_continuity_gate,presentation,slide 9 / shape 23 and timeline,"RQ2 works at pilot scale, but the current time series stops in June",Freeze the current timeline and retain the June limitation unless a specific RQ2 question is approved.,Run at most one controlled capture for the approved question then refresh report dates weekly summaries counts timeline wording source footer and hashes.,docs/research/presentation/ssrp_consent_audit_presentation_draft_2026-07-22.pptx;data/research_package/longitudinal_summary.csv,Latest-week check; exact-text check; controlled-run provenance check if applicable; presentation render and overflow check,applied_verified,freeze_current_evidence,project_owner_decision,Codex,2026-07-29T11:28:28+08:00,Verified against July 29 closeout artifacts and required checks
rq2_poster,rq2_continuity_gate,poster,slide 1 / shape rq2 pipeline-note and snapshot-caption,RQ2 How can consent interfaces be captured and versioned over time?,Keep the method-level RQ2 framing and current snapshot counts without implying continuous July tracking.,If one approved capture runs update affected counts snapshot date limitations provenance and presentation timeline before rerendering.,docs/research/poster/ssrp_poster_aligned_review_2026-07-25.pptx;data/research_package/longitudinal_summary.csv,Latest-week check; evidence-count check; poster render and overflow check; presentation parity check,applied_verified,freeze_current_evidence,project_owner_decision,Codex,2026-07-29T11:28:28+08:00,Verified against July 29 closeout artifacts and required checks
rq2_evidence,rq2_continuity_gate,evidence_package,longitudinal CSV pre-freeze manifest and closeout note,The longitudinal export has 20 rows and latest week_of=2026-06-06.,Freeze the current export and keep the continuity limitation visible.,A controlled capture requires a specific approved RQ2 question and full refresh of affected exports decisions artifacts tests and hashes.,data/research_package/longitudinal_summary.csv;data/closeout/closeout_prefreeze_manifest_2026-07-26.json;docs/research/july26_advisor_response_and_fallback_protocol_2026-07-26.md,Structured CSV row/latest-week check; manifest refresh; link check; full test and hash verification,applied_verified,freeze_current_evidence,project_owner_decision,Codex,2026-07-29T11:28:28+08:00,Verified against July 29 closeout artifacts and required checks
